,<22,22-24,25-27,28-30,31-33,34-36,37-39,40-42,43-45,46-48,49-51,52-54,55-57,58-60
60,25,25,25,25,25,25,25,25,25,25,25,25,25,25
59,25,25,25,25,25,25,25,25,25,25,25,25,25,25
58,25,25,25,25,25,25,25,25,25,25,25,25,25,25
57,25,25,25,25,25,25,25,25,25,25,25,25,25,25
56,25,25,25,25,25,25,25,25,25,25,25,25,25,25
55,25,25,25,25,25,25,25,25,25,25,25,25,25,25
54,25,25,25,25,25,25,25,25,25,25,25,25,25,25
53,25,25,25,25,25,25,25,25,25,25,25,25,25,25
52,25,25,25,25,25,25,25,25,25,25,25,25,25,25
51,25,25,25,25,25,25,25,25,25,25,25,25,25,25
50,25,25,25,25,25,25,25,25,25,25,25,25,25,25
49,24,25,25,25,25,25,25,25,25,25,25,25,25,25
48,24,25,25,25,25,25,25,25,25,25,25,25,25,25
47,24,24,25,25,25,25,25,25,25,25,25,25,25,25
46,24,24,25,25,25,25,25,25,25,25,25,25,25,25
45,24,24,24,25,25,25,25,25,25,25,25,25,25,25
44,23,24,24,25,25,25,25,25,25,25,25,25,25,25
43,23,23,24,24,25,25,25,25,25,25,25,25,25,25
42,23,23,24,24,25,25,25,25,25,25,25,25,25,25
41,23,23,23,24,24,25,25,25,25,25,25,25,25,25
40,22,23,23,24,24,25,25,25,25,25,25,25,25,25
39,22,22,23,23,24,24,25,25,25,25,25,25,25,25
38,22,22,23,23,24,24,25,25,25,25,25,25,25,25
37,22,22,22,23,23,24,24,25,25,25,25,25,25,25
36,21,22,22,23,23,24,24,25,25,25,25,25,25,25
35,21,21,22,22,23,23,24,24,25,25,25,25,25,25
34,21,21,22,22,23,23,24,24,25,25,25,25,25,25
33,21,21,21,22,22,23,23,24,24,25,25,25,25,25
32,20,21,21,22,22,23,23,23,24,25,25,25,25,25
31,20,20,21,21,22,22,23,23,24,24,25,25,25,25
30,20,20,21,21,22,22,22,23,23,24,25,25,25,25
29,20,20,20,21,21,22,22,22,23,24,25,25,25,25
28,20,20,20,21,21,21,22,22,23,23,24,25,25,25
27,19,20,20,20,21,21,21,22,22,23,24,25,25,25
26,19,19,20,20,20,21,21,21,22,23,24,25,25,25
25,19,19,19,20,20,20,21,21,22,22,23,25,25,25
24,18,19,19,19,20,20,20,21,21,22,23,24,25,25
23,18,18,19,19,19,20,20,20,21,22,23,24,24,25
22,18,18,18,19,19,19,20,20,21,21,22,23,24,24
21,17,18,18,18,19,19,19,20,20,21,22,23,23,24
20,16,17,18,18,18,19,19,19,20,21,22,22,23,23
19,15,16,17,18,18,18,19,19,20,20,21,22,22,23
18,15,15,16,17,18,18,18,19,19,20,21,21,22,22
17,10,15,15,16,17,18,18,18,19,20,20,21,21,22
16,5,10,15,15,16,17,18,18,19,19,20,20,21,21
15,1,5,10,15,15,16,17,18,18,19,19,20,20,21
14,0,1,5,10,15,15,16,17,18,18,19,19,20,20
13,0,0,1,5,10,15,15,16,17,18,18,19,19,20
12,0,0,0,1,5,10,15,15,16,17,18,18,19,19
11,0,0,0,0,1,5,10,15,15,16,17,18,18,19
10,0,0,0,0,0,1,5,10,15,15,16,17,18,18
9,0,0,0,0,0,0,1,5,10,15,15,16,17,18
8,0,0,0,0,0,0,0,1,5,10,15,15,16,17
7,0,0,0,0,0,0,0,0,1,5,10,15,15,16
6,0,0,0,0,0,0,0,0,0,1,5,10,15,15
5,0,0,0,0,0,0,0,0,0,0,1,5,10,15
4,0,0,0,0,0,0,0,0,0,0,0,1,5,10
3,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
